Class,Subject,Chapter,Section,Type,Question,Answer
Class 8,Science,Force and Pressure,Section A,MCQ,The SI unit of force is? a) Pascal b) Newton c) Joule d) Watt,b) Newton
Class 8,Science,Force and Pressure,Section A,MCQ,Pressure is defined as? a) Force x Area b) Force / Area c) Area / Force d) Mass x Acceleration,b) Force / Area
Class 8,Science,Force and Pressure,Section B,SHORT ANSWER,What is atmospheric pressure?,The pressure exerted by the weight of the air above us is called atmospheric pressure.
Class 8,Science,Force and Pressure,Section C,LONG ANSWER,Differentiate between contact and non-contact forces with examples.,Contact forces act when objects touch each other (e.g. friction). Non-contact forces act from a distance without touching (e.g. magnetic force).
Class 8,Maths,Linear Equations,Section A,MCQ,The solution of 2x - 3 = 7 is? a) 2 b) 5 c) -5 d) 10,b) 5
Class 8,Maths,Linear Equations,Section A,MCQ,A linear equation in one variable has? a) Only one solution b) Two solutions c) No solution d) Infinite solutions,a) Only one solution
Class 8,Maths,Linear Equations,Section B,SHORT ANSWER,Solve for x if 3x/2 = 6.,Multiplying both sides by 2 gives 3x = 12. Dividing by 3 gives x = 4.
Class 8,Maths,Linear Equations,Section C,LONG ANSWER,The sum of three consecutive multiples of 8 is 888. Find the multiples.,Let the multiples be x and x+8 and x+16. Their sum is 3x + 24 = 888. Solving gives x=288. Multiples are 288 and 296 and 304.
Class 10,Science,Light,Section B,SHORT ANSWER,Define the principal focus of a concave mirror.,Light rays that are parallel to the principal axis of a concave mirror converge at a specific point on its principal axis after reflecting from the mirror. This point is called the principal focus.
Class 10,Science,Light,Section B,SHORT ANSWER,Why do we prefer a convex mirror as a rear-view mirror in vehicles?,We prefer a convex mirror because it always gives an erect though diminished image and it has a wider field of view as it is curved outwards.
Class 10,Science,Light,Section C,LONG ANSWER,State the laws of reflection of light.,1) The angle of incidence is equal to the angle of reflection. 2) The incident ray the normal to the mirror at the point of incidence and the reflected ray all lie in the same plane.
Class 10,Science,Light,Section C,LONG ANSWER,What is refraction of light? State Snell's law of refraction.,The bending of light when it passes from one transparent medium to another is called refraction. Snell's law states that the ratio of sine of angle of incidence to the sine of angle of refraction is a constant for the light of a given colour and for the given pair of media.
Class 10,Maths,Polynomials,Section A,MCQ,A quadratic polynomial can have at most how many zeroes? a) 0 b) 1 c) 2 d) 3,c) 2
Class 10,Maths,Polynomials,Section A,MCQ,If alpha and beta are zeroes of x^2 - 4x + 3 then alpha + beta is? a) 3 b) -4 c) 4 d) -3,c) 4
Class 10,Maths,Polynomials,Section A,MCQ,The zeroes of the quadratic polynomial x^2 + 7x + 10 are? a) 2 and 5 b) -2 and -5 c) -2 and 5 d) 2 and -5,b) -2 and -5
Class 10,Maths,Polynomials,Section B,SHORT ANSWER,Find a quadratic polynomial whose zeroes are -3 and 2.,The polynomial is x^2 - (sum of zeroes)x + (product of zeroes) = x^2 - (-3+2)x + (-3*2) = x^2 + x - 6.
Class 10,Maths,Polynomials,Section B,SHORT ANSWER,What is the degree of a zero polynomial?,The degree of a zero polynomial is not defined.
Class 10,Maths,Polynomials,Section C,LONG ANSWER,Divide the polynomial p(x) = x^3 - 3x^2 + 5x - 3 by g(x) = x^2 - 2 and find quotient and remainder.,By performing long division we get Quotient = x - 3 and Remainder = 7x - 9.
Class 9,Science,Matter in Our Surroundings,Section A,MCQ,What is the physical state of water at 100°C? a) Solid b) Liquid c) Gas d) Both b and c,d) Both b and c
Class 9,Science,Matter in Our Surroundings,Section A,MCQ,The process of changing of a solid directly into vapors is called? a) Evaporation b) Sublimation c) Condensation d) Melting,b) Sublimation
Class 9,Science,Matter in Our Surroundings,Section B,SHORT ANSWER,Why does a desert cooler cool better on a hot dry day?,On a hot dry day the temperature is high and humidity is low. This increases the rate of evaporation of water. Since evaporation causes cooling the desert cooler cools better.
Class 9,Science,Matter in Our Surroundings,Section C,LONG ANSWER,What is evaporation? State the various factors which affect evaporation.,Evaporation is the phenomenon of change of a liquid into vapors at any temperature below its boiling point. Factors affecting it are: 1) Surface area 2) Temperature 3) Humidity 4) Wind speed.
Class 9,Maths,Number Systems,Section A,MCQ,Every rational number is a? a) Natural number b) Integer c) Real number d) Whole number,c) Real number
Class 9,Maths,Number Systems,Section B,SHORT ANSWER,Find two rational numbers between 3 and 4.,We can write 3 as 30/10 and 4 as 40/10. So two rational numbers between them are 31/10 and 32/10.
Class 7,Maths,Exponents and Powers,Section A,MCQ,What is the base in the expression 5^4? a) 4 b) 5 c) 20 d) 9,b) 5
Class 7,Maths,Exponents and Powers,Section A,MCQ,What is the value of 2^3? a) 6 b) 5 c) 8 d) 16,c) 8
Class 7,Maths,Exponents and Powers,Section A,MCQ,The value of (-1)^10 is? a) -1 b) 1 c) 10 d) -10,b) 1
Class 7,Maths,Exponents and Powers,Section A,MCQ,By using laws of exponents simplify 3^2 * 3^4. a) 3^6 b) 3^8 c) 9^6 d) 9^8,a) 3^6
Class 7,Maths,Exponents and Powers,Section A,MCQ,Simplify 7^8 / 7^3. a) 7^11 b) 1^5 c) 7^5 d) 49^5,c) 7^5
Class 7,Maths,Exponents and Powers,Section A,MCQ,What is the value of (2^3)^2? a) 2^5 b) 2^6 c) 4^5 d) 4^6,b) 2^6
Class 7,Maths,Exponents and Powers,Section A,MCQ,The value of 100^0 is? a) 0 b) 100 c) 1 d) 10,c) 1
Class 7,Maths,Exponents and Powers,Section A,MCQ,Express 10000 in exponential form. a) 10^2 b) 10^3 c) 10^4 d) 10^5,c) 10^4
Class 7,Maths,Exponents and Powers,Section A,MCQ,Which of the following is equal to a^m * b^m? a) (a+b)^m b) (ab)^m c) (ab)^(m+m) d) a^(m*m),b) (ab)^m
Class 7,Maths,Exponents and Powers,Section A,MCQ,Evaluate 2^0 + 3^0 + 4^0. a) 0 b) 1 c) 3 d) 9,c) 3
Class 7,Maths,Exponents and Powers,Section A,MCQ,Evaluate (2^0 * 3^0 * 4^0). a) 0 b) 1 c) 3 d) 24,b) 1
Class 7,Maths,Exponents and Powers,Section A,MCQ,Write 343 as a power of 7. a) 7^2 b) 7^3 c) 7^4 d) 7^5,b) 7^3
Class 7,Maths,Exponents and Powers,Section A,MCQ,What is the standard form of 85000? a) 8.5 * 10^4 b) 85 * 10^3 c) 0.85 * 10^5 d) 8.5 * 10^5,a) 8.5 * 10^4
Class 7,Maths,Exponents and Powers,Section A,MCQ,In standard form 15240000 is written as 1.524 * 10^n. What is the value of n? a) 6 b) 7 c) 8 d) 5,b) 7
Class 7,Maths,Exponents and Powers,Section A,MCQ,Simplify (x^a / x^b). a) x^(a+b) b) x^(a*b) c) x^(a-b) d) x^(a/b),c) x^(a-b)
Class 7,Maths,Exponents and Powers,Section A,MCQ,If 2^x = 32 what is the value of x? a) 4 b) 5 c) 6 d) 3,b) 5
Class 7,Maths,Exponents and Powers,Section A,MCQ,Which is greater 2^3 or 3^2? a) 2^3 b) 3^2 c) Both are equal d) Cannot be determined,b) 3^2
Class 7,Maths,Exponents and Powers,Section A,MCQ,Find the value of (-3)^3. a) 27 b) -27 c) 9 d) -9,b) -27
Class 7,Maths,Exponents and Powers,Section A,MCQ,Simplify 5^4 * 8^4. a) 40^8 b) 40^4 c) 13^4 d) 13^8,b) 40^4
Class 7,Maths,Exponents and Powers,Section A,MCQ,The value of (5^2)^3 is the same as? a) 5^5 b) 5^6 c) 25^3 d) Both b and c,d) Both b and c
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Express 512 as a power of 2.,We know that 2 * 2 * 2 * 2 * 2 * 2 * 2 * 2 * 2 = 512. Therefore 512 can be written as 2^9.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Simplify using laws of exponents: (2^3 * 2^4) / 2^5.,Using product law numerator becomes 2^(3+4) = 2^7. Using quotient law 2^7 / 2^5 = 2^(7-5) = 2^2 which is equal to 4.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Express the number 39087.8 in standard form.,To express in standard form the decimal point is moved 4 places to the left. Hence it becomes 3.90878 * 10^4.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Write the expanded form of 279404.,The expanded form is (2 * 10^5) + (7 * 10^4) + (9 * 10^3) + (4 * 10^2) + (0 * 10^1) + (4 * 10^0).
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Evaluate (-4)^3 * (-5)^2.,(-4)^3 = -64 and (-5)^2 = 25. Therefore -64 * 25 = -1600.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Simplify (3^0 + 4^0) * 5^0.,Any non-zero number to the power 0 is 1. So (1 + 1) * 1 = 2 * 1 = 2.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,Identify the greater number between 4^3 and 3^4.,4^3 = 4 * 4 * 4 = 64. 3^4 = 3 * 3 * 3 * 3 = 81. Since 81 is greater than 64 we can say 3^4 is greater than 4^3.
Class 7,Maths,Exponents and Powers,Section B,SHORT ANSWER,If a=2 and b=3 find the value of (a^b + b^a).,Substituting values we get (2^3 + 3^2) = 8 + 9 = 17.
Class 7,Maths,Exponents and Powers,Section C,LONG ANSWER,Simplify [(5^2)^3 * 5^4] / 5^7.,First solve power of a power: (5^2)^3 = 5^(2*3) = 5^6. Then multiply: 5^6 * 5^4 = 5^(6+4) = 5^10. Finally divide: 5^10 / 5^7 = 5^(10-7) = 5^3 = 125.
Class 7,Maths,Exponents and Powers,Section C,LONG ANSWER,Find the prime factorization of 108 * 192 and express the result in exponential form.,108 = 2^2 * 3^3. 192 = 2^6 * 3^1. Multiplying them gives (2^2 * 3^3) * (2^6 * 3^1) = 2^(2+6) * 3^(3+1) = 2^8 * 3^4.
Class 7,Maths,Exponents and Powers,Section C,LONG ANSWER,Find the value of x if ((-3)^4 * (-3)^5) = (-3)^(3x).,Using product law on LHS we get (-3)^(4+5) = (-3)^9. So (-3)^9 = (-3)^(3x). Equating the exponents we get 3x = 9 which means x = 3.
Class 7,Maths,Exponents and Powers,Section C,LONG ANSWER,Compare the numbers 2.7 * 10^12 and 1.5 * 10^8.,The first number has a power of 10 as 12 while the second number has a power of 10 as 8. Since 10^12 is much greater than 10^8 the number 2.7 * 10^12 is significantly larger than 1.5 * 10^8.
Class 9,Science,Motion,Section A,MCQ,The SI unit of acceleration is? a) m/s b) m/s^2 c) ms d) m^2/s,b) m/s^2
Class 9,Science,Motion,Section A,MCQ,Rate of change of displacement is called? a) Speed b) Deceleration c) Velocity d) Acceleration,c) Velocity
Class 9,Science,Motion,Section A,MCQ,Which of the following is a scalar quantity? a) Force b) Velocity c) Distance d) Displacement,c) Distance
Class 9,Science,Motion,Section A,MCQ,A body has constant velocity. Its acceleration is? a) Positive b) Negative c) Zero d) Variable,c) Zero
Class 9,Science,Motion,Section A,MCQ,The area under a velocity-time graph gives? a) Distance b) Acceleration c) Speed d) Displacement,d) Displacement
Class 9,Science,Motion,Section A,MCQ,Odometer of an automobile measures? a) Speed b) Distance c) Time d) Velocity,b) Distance
Class 9,Science,Motion,Section A,MCQ,What does the slope of a distance-time graph indicate? a) Acceleration b) Velocity c) Speed d) Momentum,c) Speed
Class 9,Science,Motion,Section A,MCQ,A particle is moving in a circular path of radius r. The displacement after half a circle would be? a) Zero b) pi * r c) 2r d) 2 * pi * r,c) 2r
Class 9,Science,Motion,Section A,MCQ,In equations of motion v = u + at what does u represent? a) Final velocity b) Initial velocity c) Acceleration d) Time,b) Initial velocity
Class 9,Science,Motion,Section A,MCQ,The numerical ratio of displacement to distance for a moving object is? a) Always less than 1 b) Always equal to 1 c) Always more than 1 d) Equal or less than 1,d) Equal or less than 1
Class 9,Science,Motion,Section A,MCQ,Which equation represents position-time relation? a) v = u + at b) s = ut + 1/2 at^2 c) v^2 - u^2 = 2as d) None of these,b) s = ut + 1/2 at^2
Class 9,Science,Motion,Section A,MCQ,If an object moves 4m East and 3m North the magnitude of its displacement is? a) 7m b) 1m c) 5m d) 12m,c) 5m
Class 9,Science,Motion,Section B,SHORT ANSWER,Define uniform circular motion.,When an object moves in a circular path with uniform speed its motion is called uniform circular motion.
Class 9,Science,Motion,Section B,SHORT ANSWER,Differentiate between speed and velocity.,Speed is the distance travelled by an object in unit time and is a scalar quantity. Velocity is the displacement in unit time and is a vector quantity.
Class 9,Science,Motion,Section B,SHORT ANSWER,What is negative acceleration?,Negative acceleration also known as retardation or deceleration occurs when the velocity of an object decreases with time.
Class 9,Science,Motion,Section B,SHORT ANSWER,A bus decreases its speed from 80 km/h to 60 km/h in 5 s. Find the acceleration.,Initial speed u = 80 km/h = 22.2 m/s. Final speed v = 60 km/h = 16.6 m/s. Time t = 5 s. Acceleration a = (v-u)/t = (16.6 - 22.2)/5 = -1.12 m/s^2.
Class 9,Science,Motion,Section B,SHORT ANSWER,Under what condition is the magnitude of average velocity of an object equal to its average speed?,The magnitude of average velocity is equal to average speed only when an object moves along a straight line in a single direction without turning back.
Class 9,Science,Motion,Section C,LONG ANSWER,Derive the second equation of motion s = ut + 1/2 at^2 graphically.,Consider an object moving with initial velocity u and uniform acceleration a. The distance s travelled in time t is the area under the velocity-time graph. Area = Area of rectangle + Area of triangle = (u * t) + (1/2 * t * at) = ut + 1/2 at^2.
Class 9,Science,Motion,Section C,LONG ANSWER,Explain the difference between distance and displacement with a suitable example.,Distance is the total path length covered by an object irrespective of direction. Displacement is the shortest straight line distance between initial and final positions. For example if you run around a 400m track and return to start distance is 400m but displacement is zero.
Class 9,Science,Motion,Section C,LONG ANSWER,State the three equations of motion. Write what each symbol represents.,The equations are: 1) v = u + at 2) s = ut + 1/2 at^2 3) v^2 = u^2 + 2as. Here u is initial velocity v is final velocity a is uniform acceleration t is time taken and s is distance travelled.
Class 7,SST,Inside Our Earth,Section A,MCQ,The uppermost layer of the earth surface is called? a) Mantle b) Core c) Crust d) Magma,c) Crust
Class 7,SST,Inside Our Earth,Section A,MCQ,What is the approximate radius of the earth? a) 3671 km b) 7163 km c) 6371 km d) 1736 km,c) 6371 km
Class 7,SST,Inside Our Earth,Section A,MCQ,Any natural mass of mineral matter that makes up the earth crust is called a? a) Rock b) Stone c) Sediment d) Fossil,a) Rock
Class 7,SST,Inside Our Earth,Section A,MCQ,The innermost layer of the earth is? a) Crust b) Core c) Mantle d) Lithosphere,b) Core
Class 7,SST,Inside Our Earth,Section A,MCQ,Which rock is formed by the cooling of magma? a) Sedimentary b) Metamorphic c) Igneous d) Core,c) Igneous
Class 7,SST,Inside Our Earth,Section A,MCQ,Igneous rocks are also called? a) Primary rocks b) Secondary rocks c) Tertiary rocks d) None of these,a) Primary rocks
Class 7,SST,Inside Our Earth,Section A,MCQ,The sediments are transported and deposited by? a) Wind b) Water c) Both a and b d) None of these,c) Both a and b
Class 7,SST,Inside Our Earth,Section A,MCQ,The process of transformation of the rock from one to another is known as? a) Rock cycle b) Mineral cycle c) Earth cycle d) Magma cycle,a) Rock cycle
Class 7,SST,Inside Our Earth,Section A,MCQ,Which of the following is a sedimentary rock? a) Granite b) Basalt c) Sandstone d) Slate,c) Sandstone
Class 7,SST,Inside Our Earth,Section A,MCQ,Gold petroleum and coal are examples of? a) Rocks b) Minerals c) Fossils d) Magma,b) Minerals
Class 7,SST,Inside Our Earth,Section A,MCQ,The oceanic crust mainly consists of silica and? a) Alumina b) Magnesium c) Iron d) Nickel,b) Magnesium
Class 7,SST,Inside Our Earth,Section A,MCQ,The core is mainly made up of? a) Nickel and iron b) Silica and alumina c) Silica and magnesium d) Solid rocks,a) Nickel and iron
Class 7,SST,Inside Our Earth,Section B,SHORT ANSWER,What are the three layers of the earth?,The three layers of the earth are the crust the mantle and the core.
Class 7,SST,Inside Our Earth,Section B,SHORT ANSWER,What is a rock?,Any natural mass of mineral matter that makes up the earth crust is called a rock. Rocks can be of different colour size and texture.
Class 7,SST,Inside Our Earth,Section B,SHORT ANSWER,Name the three major types of rocks.,The three major types of rocks are igneous rocks sedimentary rocks and metamorphic rocks.
Class 7,SST,Inside Our Earth,Section B,SHORT ANSWER,What are fossils?,The remains of the dead plants and animals trapped in the layers of rocks are called fossils.
Class 7,SST,Inside Our Earth,Section B,SHORT ANSWER,What are minerals?,Minerals are naturally occurring substances which have certain physical properties and a definite chemical composition.
Class 7,SST,Inside Our Earth,Section C,LONG ANSWER,How are extrusive and intrusive rocks formed?,Extrusive rocks are formed when molten lava comes on the earth surface and rapidly cools down to become solid. Intrusive rocks are formed when molten magma cools down deep inside the earth crust.
Class 7,SST,Inside Our Earth,Section C,LONG ANSWER,Explain the rock cycle with examples.,The continuous process of transformation of one type of rock into another under certain conditions is called the rock cycle. For example igneous rocks break down into sediments which form sedimentary rocks and both can change into metamorphic rocks under heat and pressure.
Class 7,SST,Inside Our Earth,Section C,LONG ANSWER,What are the uses of rocks in our daily life?,Rocks are very useful to us. The hard rocks are used for making roads houses and buildings. Many stones are used by children in different games. Rocks are also the primary source of various precious minerals.
Class 7,SST,The Mughal Empire,Section A,MCQ,Who was the founder of the Mughal Empire? a) Akbar b) Babur c) Humayun d) Jahangir,b) Babur
Class 7,SST,The Mughal Empire,Section A,MCQ,In which year was the First Battle of Panipat fought? a) 1526 b) 1556 c) 1761 d) 1857,a) 1526
Class 7,SST,The Mughal Empire,Section A,MCQ,Who defeated Humayun and captured Delhi? a) Sher Shah Suri b) Maharana Pratap c) Shivaji d) Babur,a) Sher Shah Suri
Class 7,SST,The Mughal Empire,Section A,MCQ,Who was the regent of Akbar when he became emperor? a) Bairam Khan b) Abul Fazl c) Todar Mal d) Birbal,a) Bairam Khan
Class 7,SST,The Mughal Empire,Section A,MCQ,What was the name of the book written by Abul Fazl on Akbars administration? a) Baburnama b) Ain i Akbari c) Tuzuk i Jahangiri d) Shahjahannama,b) Ain i Akbari
Class 7,SST,The Mughal Empire,Section A,MCQ,Who built the Taj Mahal? a) Akbar b) Jahangir c) Shah Jahan d) Aurangzeb,c) Shah Jahan
Class 7,SST,The Mughal Empire,Section A,MCQ,Which Sikh Guru was executed by Aurangzeb? a) Guru Nanak b) Guru Arjan Dev c) Guru Tegh Bahadur d) Guru Gobind Singh,c) Guru Tegh Bahadur
Class 7,SST,The Mughal Empire,Section A,MCQ,What were the revenue ministers called in the Mughal administration? a) Mansabdar b) Diwan c) Bakshi d) Faujdar,b) Diwan
Class 7,SST,The Mughal Empire,Section A,MCQ,The military commanders in the Mughal administration were known as? a) Faujdars b) Subadars c) Diwans d) Mansabdars,a) Faujdars
Class 7,SST,The Mughal Empire,Section A,MCQ,Which Mughal emperor was known for his policy of religious tolerance called Sulh i Kul? a) Aurangzeb b) Shah Jahan c) Humayun d) Akbar,d) Akbar
Class 7,SST,The Mughal Empire,Section A,MCQ,What was the rank or position held by a Mughal officer called? a) Zat b) Mansab c) Jagir d) Suba,b) Mansab
Class 7,SST,The Mughal Empire,Section A,MCQ,Who was the mother of Jahangir? a) Mumtaz Mahal b) Nur Jahan c) Jodha Bai d) Hami Bano Begum,c) Jodha Bai
Class 7,SST,The Mughal Empire,Section B,SHORT ANSWER,Who were the Mughals?,The Mughals were descendants of two great lineages of rulers Genghis Khan and Timur.
Class 7,SST,The Mughal Empire,Section B,SHORT ANSWER,What was the mansabdari system?,It was a grading system used by the Mughals to fix rank salary and military responsibilities of the nobles.
Class 7,SST,The Mughal Empire,Section B,SHORT ANSWER,Who was Todar Mal and what did he do?,Todar Mal was the revenue minister of Akbar who carried out a careful survey of crop yields and prices to fix revenue.
Class 7,SST,The Mughal Empire,Section B,SHORT ANSWER,Define the term zamindar in the Mughal context.,The term zamindar was used by the Mughals to describe all intermediaries whether they were local headmen of villages or powerful chieftains.
Class 7,SST,The Mughal Empire,Section B,SHORT ANSWER,What is Sulh i Kul?,Sulh i Kul means universal peace. It was an idea of tolerance introduced by Akbar that did not discriminate between people of different religions.
Class 7,SST,The Mughal Empire,Section C,LONG ANSWER,Describe the Rajput policy of Akbar.,Akbar realized that a strong empire could not be built without the support of the Rajputs. He entered into matrimonial alliances with many Rajput royal families. He gave high ranks to Rajput nobles in his administration like Raja Man Singh. He also abolished the jizya tax which gained him their loyalty.
Class 7,SST,The Mughal Empire,Section C,LONG ANSWER,Explain the zabt system of revenue collection.,Akbar revenue minister Todar Mal carried out a careful survey of crop yields prices and areas cultivated for a 10 year period. Based on this data tax was fixed on each crop in cash. Each province was divided into revenue circles with its own schedule of revenue rates. This revenue system was known as zabt.
Class 7,SST,The Mughal Empire,Section C,LONG ANSWER,Why was it important for the Mughals to recruit mansabdars from diverse backgrounds?,As the empire expanded to encompass different regions it was important to recruit diverse people to maintain control. It helped the Mughals gain the trust of local populations. If they had recruited only Turanis and Iranis it would have caused resentment and rebellions among the local chieftains and nobles.
Class 7,Maths,Simple Equations,Section A,MCQ,What is the solution of the equation 3(x - 2) = 15? a) 5 b) 7 c) 3 d) 9,b) 7
Class 7,Maths,Simple Equations,Section A,MCQ,If x/2 - x/3 = 5 then what is the value of x? a) 10 b) 20 c) 30 d) 40,c) 30
Class 7,Maths,Simple Equations,Section A,MCQ,The sum of three consecutive integers is 51. The middle integer is? a) 16 b) 17 c) 18 d) 19,b) 17
Class 7,Maths,Simple Equations,Section A,MCQ,A number when added to its two-thirds equals 55. The number is? a) 33 b) 22 c) 11 d) 44,a) 33
Class 7,Maths,Simple Equations,Section A,MCQ,If 2(a - 3) + 3(a + 1) = 22 find the value of a. a) 3 b) 4 c) 5 d) 6,c) 5
Class 7,Maths,Simple Equations,Section A,MCQ,The length of a rectangle is 3 cm more than its breadth. If the perimeter is 34 cm its breadth is? a) 10 cm b) 7 cm c) 13 cm d) 14 cm,b) 7 cm
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,Solve the equation 4 + 5(p - 1) = 34.,Subtracting 4 from both sides gives 5(p - 1) = 30. Dividing by 5 gives p - 1 = 6. Therefore p = 7.
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,Two supplementary angles differ by 44 degrees. Find both the angles.,Let the angles be x and x + 44. Since they are supplementary x + x + 44 = 180. Solving gives 2x = 136 so x = 68. The angles are 68 degrees and 112 degrees.
Class 7,Maths,Simple Equations,Section B,SHORT ANSWER,Raju father is 3 times as old as Raju. After 15 years he will be twice as old as Raju. Find their present ages.,Let Raju age be x so father age is 3x. After 15 years 3x + 15 = 2(x + 15). Solving gives 3x + 15 = 2x + 30 which means x = 15. Raju is 15 and his father is 45.
Class 7,Maths,Simple Equations,Section C,LONG ANSWER,In a class of 60 students the number of girls is one-third the number of boys. Find the number of girls and boys in the class. Also if 5 more girls join the class what will be the new ratio of girls to boys?,Let the number of boys be x. Then girls = x/3. Total students = x + x/3 = 60. This gives 4x/3 = 60 so x = 45. Boys are 45 and girls are 15. If 5 girls join new number of girls is 20. The new ratio of girls to boys is 20 to 45 which simplifies to 4 to 9.
Class 7,Maths,Algebraic Expressions,Section A,MCQ,What should be subtracted from 2a + 8b + 10 to get -3a + 7b + 16? a) 5a + b - 6 b) 5a - b + 6 c) -5a - b + 6 d) 5a + b + 6,a) 5a + b - 6
Class 7,Maths,Algebraic Expressions,Section A,MCQ,Simplify the expression 3(x^2 - y^2) - 2(x^2 + y^2). a) x^2 - 5y^2 b) 5x^2 - y^2 c) x^2 + 5y^2 d) x^2 - y^2,a) x^2 - 5y^2
Class 7,Maths,Algebraic Expressions,Section A,MCQ,If A = 3x^2 - 4x + 1 and B = 5x^2 + 3x - 8 find the value of A - B. a) -2x^2 - 7x + 9 b) -2x^2 + 7x - 9 c) 2x^2 - 7x + 9 d) 8x^2 - x - 7,a) -2x^2 - 7x + 9
Class 7,Maths,Algebraic Expressions,Section A,MCQ,Find the value of the expression x^3 - 3x^2 + 4x - 5 when x = -2. a) -13 b) -23 c) -33 d) 33,c) -33
Class 7,Maths,Algebraic Expressions,Section A,MCQ,The degree of the polynomial 4x^3y^2 - 5xy^4 + 3x^2y^2 is? a) 5 b) 6 c) 4 d) 3,a) 5
Class 7,Maths,Algebraic Expressions,Section A,MCQ,Which of the following expressions is a trinomial? a) 3x^2 + 4 b) 5x^2y c) x + y + z d) 2x + 3y - 5xy + 4,c) x + y + z
